Salary_ID,Job_Role,Location,Company_Type,Experience,Minimum_Salary_LPA,Maximum_Salary_LPA,Average_Salary_LPA,Required_Skills,Education,Employment_Type
SAL0170,Cloud Engineer,Hyderabad,Consulting,6+ Years,18,35,26.5,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0171,DevOps Engineer,Chennai,Startup,Fresher,3,6,4.5,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0172,DevOps Engineer,Pune,Mid-size,0-2 Years,5,9,7.0,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0173,DevOps Engineer,Mumbai,MNC,2-4 Years,8,15,11.5,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0174,DevOps Engineer,Delhi,Product Company,4-6 Years,12,22,17.0,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0175,DevOps Engineer,Noida,Consulting,6+ Years,18,35,26.5,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0176,NLP Engineer,Remote,Startup,Fresher,3,6,4.5,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0177,NLP Engineer,Bengaluru,Mid-size,0-2 Years,5,9,7.0,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0178,NLP Engineer,Hyderabad,MNC,2-4 Years,8,15,11.5,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0179,NLP Engineer,Chennai,Product Company,4-6 Years,12,22,17.0,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0180,NLP Engineer,Pune,Consulting,6+ Years,18,35,26.5,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0181,Data Analyst,Mumbai,Startup,Fresher,3,6,4.5,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0182,Data Analyst,Delhi,Mid-size,0-2 Years,5,9,7.0,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0183,Data Analyst,Noida,MNC,2-4 Years,8,15,11.5,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0184,Data Analyst,Remote,Product Company,4-6 Years,12,22,17.0,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0185,Data Analyst,Bengaluru,Consulting,6+ Years,18,35,26.5,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0186,Data Scientist,Hyderabad,Startup,Fresher,3,6,4.5,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0187,Data Scientist,Chennai,Mid-size,0-2 Years,5,9,7.0,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0188,Data Scientist,Pune,MNC,2-4 Years,8,15,11.5,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0189,Data Scientist,Mumbai,Product Company,4-6 Years,12,22,17.0,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0190,Data Scientist,Delhi,Consulting,6+ Years,18,35,26.5,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0191,Machine Learning Engineer,Noida,Startup,Fresher,3,6,4.5,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0192,Machine Learning Engineer,Remote,Mid-size,0-2 Years,5,9,7.0,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0193,Machine Learning Engineer,Bengaluru,MNC,2-4 Years,8,15,11.5,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0194,Machine Learning Engineer,Hyderabad,Product Company,4-6 Years,12,22,17.0,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0195,Machine Learning Engineer,Chennai,Consulting,6+ Years,18,35,26.5,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0196,AI Engineer,Pune,Startup,Fresher,3,6,4.5,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0197,AI Engineer,Mumbai,Mid-size,0-2 Years,5,9,7.0,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0198,AI Engineer,Delhi,MNC,2-4 Years,8,15,11.5,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0199,AI Engineer,Noida,Product Company,4-6 Years,12,22,17.0,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0200,AI Engineer,Remote,Consulting,6+ Years,18,35,26.5,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0201,Data Engineer,Bengaluru,Startup,Fresher,3,6,4.5,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0202,Data Engineer,Hyderabad,Mid-size,0-2 Years,5,9,7.0,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0203,Data Engineer,Chennai,MNC,2-4 Years,8,15,11.5,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0204,Data Engineer,Pune,Product Company,4-6 Years,12,22,17.0,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0205,Data Engineer,Mumbai,Consulting,6+ Years,18,35,26.5,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0206,BI Developer,Delhi,Startup,Fresher,3,6,4.5,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0207,BI Developer,Noida,Mid-size,0-2 Years,5,9,7.0,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0208,BI Developer,Remote,MNC,2-4 Years,8,15,11.5,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0209,BI Developer,Bengaluru,Product Company,4-6 Years,12,22,17.0,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0210,BI Developer,Hyderabad,Consulting,6+ Years,18,35,26.5,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0211,Python Developer,Chennai,Startup,Fresher,3,6,4.5,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0212,Python Developer,Pune,Mid-size,0-2 Years,5,9,7.0,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0213,Python Developer,Mumbai,MNC,2-4 Years,8,15,11.5,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0214,Python Developer,Delhi,Product Company,4-6 Years,12,22,17.0,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0215,Python Developer,Noida,Consulting,6+ Years,18,35,26.5,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0216,Backend Developer,Remote,Startup,Fresher,3,6,4.5,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0217,Backend Developer,Bengaluru,Mid-size,0-2 Years,5,9,7.0,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0218,Backend Developer,Hyderabad,MNC,2-4 Years,8,15,11.5,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0219,Backend Developer,Chennai,Product Company,4-6 Years,12,22,17.0,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0220,Backend Developer,Pune,Consulting,6+ Years,18,35,26.5,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0221,Full Stack Developer,Mumbai,Startup,Fresher,3,6,4.5,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0222,Full Stack Developer,Delhi,Mid-size,0-2 Years,5,9,7.0,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0223,Full Stack Developer,Noida,MNC,2-4 Years,8,15,11.5,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0224,Full Stack Developer,Remote,Product Company,4-6 Years,12,22,17.0,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0225,Full Stack Developer,Bengaluru,Consulting,6+ Years,18,35,26.5,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0226,Cloud Engineer,Hyderabad,Startup,Fresher,3,6,4.5,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0227,Cloud Engineer,Chennai,Mid-size,0-2 Years,5,9,7.0,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0228,Cloud Engineer,Pune,MNC,2-4 Years,8,15,11.5,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0229,Cloud Engineer,Mumbai,Product Company,4-6 Years,12,22,17.0,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0230,Cloud Engineer,Delhi,Consulting,6+ Years,18,35,26.5,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0231,DevOps Engineer,Noida,Startup,Fresher,3,6,4.5,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0232,DevOps Engineer,Remote,Mid-size,0-2 Years,5,9,7.0,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0233,DevOps Engineer,Bengaluru,MNC,2-4 Years,8,15,11.5,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0234,DevOps Engineer,Hyderabad,Product Company,4-6 Years,12,22,17.0,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0235,DevOps Engineer,Chennai,Consulting,6+ Years,18,35,26.5,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0236,NLP Engineer,Pune,Startup,Fresher,3,6,4.5,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0237,NLP Engineer,Mumbai,Mid-size,0-2 Years,5,9,7.0,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0238,NLP Engineer,Delhi,MNC,2-4 Years,8,15,11.5,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0239,NLP Engineer,Noida,Product Company,4-6 Years,12,22,17.0,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0240,NLP Engineer,Remote,Consulting,6+ Years,18,35,26.5,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0241,Data Analyst,Bengaluru,Startup,Fresher,3,6,4.5,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0242,Data Analyst,Hyderabad,Mid-size,0-2 Years,5,9,7.0,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0243,Data Analyst,Chennai,MNC,2-4 Years,8,15,11.5,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0244,Data Analyst,Pune,Product Company,4-6 Years,12,22,17.0,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0245,Data Analyst,Mumbai,Consulting,6+ Years,18,35,26.5,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0246,Data Scientist,Delhi,Startup,Fresher,3,6,4.5,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0247,Data Scientist,Noida,Mid-size,0-2 Years,5,9,7.0,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0248,Data Scientist,Remote,MNC,2-4 Years,8,15,11.5,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0249,Data Scientist,Bengaluru,Product Company,4-6 Years,12,22,17.0,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0250,Data Scientist,Hyderabad,Consulting,6+ Years,18,35,26.5,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0251,Machine Learning Engineer,Chennai,Startup,Fresher,3,6,4.5,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0252,Machine Learning Engineer,Pune,Mid-size,0-2 Years,5,9,7.0,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0253,Machine Learning Engineer,Mumbai,MNC,2-4 Years,8,15,11.5,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0254,Machine Learning Engineer,Delhi,Product Company,4-6 Years,12,22,17.0,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0255,Machine Learning Engineer,Noida,Consulting,6+ Years,18,35,26.5,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0256,AI Engineer,Remote,Startup,Fresher,3,6,4.5,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0257,AI Engineer,Bengaluru,Mid-size,0-2 Years,5,9,7.0,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0258,AI Engineer,Hyderabad,MNC,2-4 Years,8,15,11.5,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0259,AI Engineer,Chennai,Product Company,4-6 Years,12,22,17.0,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0260,AI Engineer,Pune,Consulting,6+ Years,18,35,26.5,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0261,Data Engineer,Mumbai,Startup,Fresher,3,6,4.5,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0262,Data Engineer,Delhi,Mid-size,0-2 Years,5,9,7.0,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0263,Data Engineer,Noida,MNC,2-4 Years,8,15,11.5,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0264,Data Engineer,Remote,Product Company,4-6 Years,12,22,17.0,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0265,Data Engineer,Bengaluru,Consulting,6+ Years,18,35,26.5,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0266,BI Developer,Hyderabad,Startup,Fresher,3,6,4.5,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0267,BI Developer,Chennai,Mid-size,0-2 Years,5,9,7.0,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0268,BI Developer,Pune,MNC,2-4 Years,8,15,11.5,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0269,BI Developer,Mumbai,Product Company,4-6 Years,12,22,17.0,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0270,BI Developer,Delhi,Consulting,6+ Years,18,35,26.5,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0271,Python Developer,Noida,Startup,Fresher,3,6,4.5,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0272,Python Developer,Remote,Mid-size,0-2 Years,5,9,7.0,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0273,Python Developer,Bengaluru,MNC,2-4 Years,8,15,11.5,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0274,Python Developer,Hyderabad,Product Company,4-6 Years,12,22,17.0,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0275,Python Developer,Chennai,Consulting,6+ Years,18,35,26.5,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0276,Backend Developer,Pune,Startup,Fresher,3,6,4.5,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0277,Backend Developer,Mumbai,Mid-size,0-2 Years,5,9,7.0,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0278,Backend Developer,Delhi,MNC,2-4 Years,8,15,11.5,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0279,Backend Developer,Noida,Product Company,4-6 Years,12,22,17.0,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0280,Backend Developer,Remote,Consulting,6+ Years,18,35,26.5,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0281,Full Stack Developer,Bengaluru,Startup,Fresher,3,6,4.5,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0282,Full Stack Developer,Hyderabad,Mid-size,0-2 Years,5,9,7.0,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0283,Full Stack Developer,Chennai,MNC,2-4 Years,8,15,11.5,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0284,Full Stack Developer,Pune,Product Company,4-6 Years,12,22,17.0,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0285,Full Stack Developer,Mumbai,Consulting,6+ Years,18,35,26.5,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0286,Cloud Engineer,Delhi,Startup,Fresher,3,6,4.5,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0287,Cloud Engineer,Noida,Mid-size,0-2 Years,5,9,7.0,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0288,Cloud Engineer,Remote,MNC,2-4 Years,8,15,11.5,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0289,Cloud Engineer,Bengaluru,Product Company,4-6 Years,12,22,17.0,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0290,Cloud Engineer,Hyderabad,Consulting,6+ Years,18,35,26.5,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0291,DevOps Engineer,Chennai,Startup,Fresher,3,6,4.5,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0292,DevOps Engineer,Pune,Mid-size,0-2 Years,5,9,7.0,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0293,DevOps Engineer,Mumbai,MNC,2-4 Years,8,15,11.5,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0294,DevOps Engineer,Delhi,Product Company,4-6 Years,12,22,17.0,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0295,DevOps Engineer,Noida,Consulting,6+ Years,18,35,26.5,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0296,NLP Engineer,Remote,Startup,Fresher,3,6,4.5,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0297,NLP Engineer,Bengaluru,Mid-size,0-2 Years,5,9,7.0,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0298,NLP Engineer,Hyderabad,MNC,2-4 Years,8,15,11.5,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0299,NLP Engineer,Chennai,Product Company,4-6 Years,12,22,17.0,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0300,NLP Engineer,Pune,Consulting,6+ Years,18,35,26.5,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0301,Data Analyst,Mumbai,Startup,Fresher,3,6,4.5,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0302,Data Analyst,Delhi,Mid-size,0-2 Years,5,9,7.0,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0303,Data Analyst,Noida,MNC,2-4 Years,8,15,11.5,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0304,Data Analyst,Remote,Product Company,4-6 Years,12,22,17.0,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0305,Data Analyst,Bengaluru,Consulting,6+ Years,18,35,26.5,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0306,Data Scientist,Hyderabad,Startup,Fresher,3,6,4.5,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0307,Data Scientist,Chennai,Mid-size,0-2 Years,5,9,7.0,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0308,Data Scientist,Pune,MNC,2-4 Years,8,15,11.5,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0309,Data Scientist,Mumbai,Product Company,4-6 Years,12,22,17.0,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0310,Data Scientist,Delhi,Consulting,6+ Years,18,35,26.5,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0311,Machine Learning Engineer,Noida,Startup,Fresher,3,6,4.5,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0312,Machine Learning Engineer,Remote,Mid-size,0-2 Years,5,9,7.0,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0313,Machine Learning Engineer,Bengaluru,MNC,2-4 Years,8,15,11.5,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0314,Machine Learning Engineer,Hyderabad,Product Company,4-6 Years,12,22,17.0,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0315,Machine Learning Engineer,Chennai,Consulting,6+ Years,18,35,26.5,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0316,AI Engineer,Pune,Startup,Fresher,3,6,4.5,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0317,AI Engineer,Mumbai,Mid-size,0-2 Years,5,9,7.0,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0318,AI Engineer,Delhi,MNC,2-4 Years,8,15,11.5,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0319,AI Engineer,Noida,Product Company,4-6 Years,12,22,17.0,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0320,AI Engineer,Remote,Consulting,6+ Years,18,35,26.5,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0321,Data Engineer,Bengaluru,Startup,Fresher,3,6,4.5,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0322,Data Engineer,Hyderabad,Mid-size,0-2 Years,5,9,7.0,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0323,Data Engineer,Chennai,MNC,2-4 Years,8,15,11.5,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0324,Data Engineer,Pune,Product Company,4-6 Years,12,22,17.0,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0325,Data Engineer,Mumbai,Consulting,6+ Years,18,35,26.5,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0326,BI Developer,Delhi,Startup,Fresher,3,6,4.5,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0327,BI Developer,Noida,Mid-size,0-2 Years,5,9,7.0,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0328,BI Developer,Remote,MNC,2-4 Years,8,15,11.5,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0329,BI Developer,Bengaluru,Product Company,4-6 Years,12,22,17.0,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0330,BI Developer,Hyderabad,Consulting,6+ Years,18,35,26.5,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0331,Python Developer,Chennai,Startup,Fresher,3,6,4.5,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0332,Python Developer,Pune,Mid-size,0-2 Years,5,9,7.0,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0333,Python Developer,Mumbai,MNC,2-4 Years,8,15,11.5,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0334,Python Developer,Delhi,Product Company,4-6 Years,12,22,17.0,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0335,Python Developer,Noida,Consulting,6+ Years,18,35,26.5,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0336,Backend Developer,Remote,Startup,Fresher,3,6,4.5,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0337,Backend Developer,Bengaluru,Mid-size,0-2 Years,5,9,7.0,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0338,Backend Developer,Hyderabad,MNC,2-4 Years,8,15,11.5,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
