Path_ID,Current_Role,Next_Role,Required_Skills,Recommended_Courses,Estimated_Time,Difficulty,Average_Salary,Industry
PATH0156,Backend Developer,Full Stack Developer,React;Node.js;JavaScript;HTML;CSS,CRS0220;CRS0250,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0157,Machine Learning Engineer,AI Engineer,TensorFlow;PyTorch;LLMs;Prompt Engineering,CRS0280;CRS0300,8 Months,Advanced,₹15-30 LPA,"AI, Data Science & Software"
PATH0158,AI Engineer,Generative AI Engineer,RAG;LangChain;Vector Databases;Transformers,CRS0320;CRS0340,8 Months,Advanced,₹20-40 LPA,"AI, Data Science & Software"
PATH0159,Cloud Engineer,DevOps Engineer,Docker;Kubernetes;Terraform;CI/CD,CRS0360;CRS0380,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0160,DevOps Engineer,Cloud Architect,AWS;Azure;Security;Infrastructure as Code,CRS0400;CRS0420,12 Months,Advanced,₹20-35 LPA,"AI, Data Science & Software"
PATH0161,Data Analyst,Data Scientist,Python;Machine Learning;Statistics;Scikit-learn,CRS0001;CRS0045;CRS0102,6 Months,Intermediate,₹8-15 LPA,"AI, Data Science & Software"
PATH0162,Data Scientist,Senior Data Scientist,Deep Learning;MLOps;AWS;LLMs,CRS0110;CRS0155;CRS0201,12 Months,Advanced,₹15-28 LPA,"AI, Data Science & Software"
PATH0163,Data Analyst,BI Developer,Power BI;DAX;SQL;Excel,CRS0030;CRS0060,4 Months,Beginner,₹6-12 LPA,"AI, Data Science & Software"
PATH0164,BI Developer,Analytics Manager,Leadership;SQL;Power BI;Python,CRS0090;CRS0120,8 Months,Intermediate,₹12-20 LPA,"AI, Data Science & Software"
PATH0165,Python Developer,Backend Developer,FastAPI;Docker;PostgreSQL;Git,CRS0130;CRS0180,5 Months,Intermediate,₹7-14 LPA,"AI, Data Science & Software"
PATH0166,Backend Developer,Full Stack Developer,React;Node.js;JavaScript;HTML;CSS,CRS0220;CRS0250,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0167,Machine Learning Engineer,AI Engineer,TensorFlow;PyTorch;LLMs;Prompt Engineering,CRS0280;CRS0300,8 Months,Advanced,₹15-30 LPA,"AI, Data Science & Software"
PATH0168,AI Engineer,Generative AI Engineer,RAG;LangChain;Vector Databases;Transformers,CRS0320;CRS0340,8 Months,Advanced,₹20-40 LPA,"AI, Data Science & Software"
PATH0169,Cloud Engineer,DevOps Engineer,Docker;Kubernetes;Terraform;CI/CD,CRS0360;CRS0380,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0170,DevOps Engineer,Cloud Architect,AWS;Azure;Security;Infrastructure as Code,CRS0400;CRS0420,12 Months,Advanced,₹20-35 LPA,"AI, Data Science & Software"
PATH0171,Data Analyst,Data Scientist,Python;Machine Learning;Statistics;Scikit-learn,CRS0001;CRS0045;CRS0102,6 Months,Intermediate,₹8-15 LPA,"AI, Data Science & Software"
PATH0172,Data Scientist,Senior Data Scientist,Deep Learning;MLOps;AWS;LLMs,CRS0110;CRS0155;CRS0201,12 Months,Advanced,₹15-28 LPA,"AI, Data Science & Software"
PATH0173,Data Analyst,BI Developer,Power BI;DAX;SQL;Excel,CRS0030;CRS0060,4 Months,Beginner,₹6-12 LPA,"AI, Data Science & Software"
PATH0174,BI Developer,Analytics Manager,Leadership;SQL;Power BI;Python,CRS0090;CRS0120,8 Months,Intermediate,₹12-20 LPA,"AI, Data Science & Software"
PATH0175,Python Developer,Backend Developer,FastAPI;Docker;PostgreSQL;Git,CRS0130;CRS0180,5 Months,Intermediate,₹7-14 LPA,"AI, Data Science & Software"
PATH0176,Backend Developer,Full Stack Developer,React;Node.js;JavaScript;HTML;CSS,CRS0220;CRS0250,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0177,Machine Learning Engineer,AI Engineer,TensorFlow;PyTorch;LLMs;Prompt Engineering,CRS0280;CRS0300,8 Months,Advanced,₹15-30 LPA,"AI, Data Science & Software"
PATH0178,AI Engineer,Generative AI Engineer,RAG;LangChain;Vector Databases;Transformers,CRS0320;CRS0340,8 Months,Advanced,₹20-40 LPA,"AI, Data Science & Software"
PATH0179,Cloud Engineer,DevOps Engineer,Docker;Kubernetes;Terraform;CI/CD,CRS0360;CRS0380,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0180,DevOps Engineer,Cloud Architect,AWS;Azure;Security;Infrastructure as Code,CRS0400;CRS0420,12 Months,Advanced,₹20-35 LPA,"AI, Data Science & Software"
PATH0181,Data Analyst,Data Scientist,Python;Machine Learning;Statistics;Scikit-learn,CRS0001;CRS0045;CRS0102,6 Months,Intermediate,₹8-15 LPA,"AI, Data Science & Software"
PATH0182,Data Scientist,Senior Data Scientist,Deep Learning;MLOps;AWS;LLMs,CRS0110;CRS0155;CRS0201,12 Months,Advanced,₹15-28 LPA,"AI, Data Science & Software"
PATH0183,Data Analyst,BI Developer,Power BI;DAX;SQL;Excel,CRS0030;CRS0060,4 Months,Beginner,₹6-12 LPA,"AI, Data Science & Software"
PATH0184,BI Developer,Analytics Manager,Leadership;SQL;Power BI;Python,CRS0090;CRS0120,8 Months,Intermediate,₹12-20 LPA,"AI, Data Science & Software"
PATH0185,Python Developer,Backend Developer,FastAPI;Docker;PostgreSQL;Git,CRS0130;CRS0180,5 Months,Intermediate,₹7-14 LPA,"AI, Data Science & Software"
PATH0186,Backend Developer,Full Stack Developer,React;Node.js;JavaScript;HTML;CSS,CRS0220;CRS0250,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0187,Machine Learning Engineer,AI Engineer,TensorFlow;PyTorch;LLMs;Prompt Engineering,CRS0280;CRS0300,8 Months,Advanced,₹15-30 LPA,"AI, Data Science & Software"
PATH0188,AI Engineer,Generative AI Engineer,RAG;LangChain;Vector Databases;Transformers,CRS0320;CRS0340,8 Months,Advanced,₹20-40 LPA,"AI, Data Science & Software"
PATH0189,Cloud Engineer,DevOps Engineer,Docker;Kubernetes;Terraform;CI/CD,CRS0360;CRS0380,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0190,DevOps Engineer,Cloud Architect,AWS;Azure;Security;Infrastructure as Code,CRS0400;CRS0420,12 Months,Advanced,₹20-35 LPA,"AI, Data Science & Software"
PATH0191,Data Analyst,Data Scientist,Python;Machine Learning;Statistics;Scikit-learn,CRS0001;CRS0045;CRS0102,6 Months,Intermediate,₹8-15 LPA,"AI, Data Science & Software"
PATH0192,Data Scientist,Senior Data Scientist,Deep Learning;MLOps;AWS;LLMs,CRS0110;CRS0155;CRS0201,12 Months,Advanced,₹15-28 LPA,"AI, Data Science & Software"
PATH0193,Data Analyst,BI Developer,Power BI;DAX;SQL;Excel,CRS0030;CRS0060,4 Months,Beginner,₹6-12 LPA,"AI, Data Science & Software"
PATH0194,BI Developer,Analytics Manager,Leadership;SQL;Power BI;Python,CRS0090;CRS0120,8 Months,Intermediate,₹12-20 LPA,"AI, Data Science & Software"
PATH0195,Python Developer,Backend Developer,FastAPI;Docker;PostgreSQL;Git,CRS0130;CRS0180,5 Months,Intermediate,₹7-14 LPA,"AI, Data Science & Software"
PATH0196,Backend Developer,Full Stack Developer,React;Node.js;JavaScript;HTML;CSS,CRS0220;CRS0250,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0197,Machine Learning Engineer,AI Engineer,TensorFlow;PyTorch;LLMs;Prompt Engineering,CRS0280;CRS0300,8 Months,Advanced,₹15-30 LPA,"AI, Data Science & Software"
PATH0198,AI Engineer,Generative AI Engineer,RAG;LangChain;Vector Databases;Transformers,CRS0320;CRS0340,8 Months,Advanced,₹20-40 LPA,"AI, Data Science & Software"
PATH0199,Cloud Engineer,DevOps Engineer,Docker;Kubernetes;Terraform;CI/CD,CRS0360;CRS0380,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0200,DevOps Engineer,Cloud Architect,AWS;Azure;Security;Infrastructure as Code,CRS0400;CRS0420,12 Months,Advanced,₹20-35 LPA,"AI, Data Science & Software"
